QualifiedName	Name	Complexity	Coupling	Size	Lack of Cohesion	CBO	RFC	SRFC	DIT	NOC	WMC	LOC	CMLOC	NOF	NOSF	NOM	NOSM	NORM	LCOM	LCAM	LTCC	ATFD	SI	Coverage	
weka.core.RelationalLocator	RelationalLocator	low-medium	low	low-medium	low	4	41	17	2	0	19	66	64	0	1	4	2	1	0.0	0.5	0.0	0	0.5		
weka.core.RepositoryIndexGenerator	RepositoryIndexGenerator	medium-high	low	medium-high	low-medium	1	61	59	1	0	52	437	424	0	5	0	9	0	1.2	0.635	0.0	0	0.0		
weka.core.ResampleUtils	ResampleUtils	low	low	low	low	2	22	5	1	0	5	13	12	0	0	0	2	0	0.0	0.167	0.0	0	0.0		
weka.core.ResourceUtils	ResourceUtils	low-medium	low-medium	low-medium	low	6	67	31	1	0	29	91	90	0	0	0	5	0	0.0	0.4	0.0	0	0.0		
weka.core.RevisionHandler	RevisionHandler	low	low	low	low	0	1	0	1	235	1	2	1	0	0	1	0	0	0.0	0.0	0.0	0	0.0		
weka.core.RevisionUtils	RevisionUtils	low	low	low	low	1	15	14	1	0	12	44	39	0	0	0	5	0	0.0	0.333	0.0	0	0.0		
weka.core.SelectedTag	SelectedTag	low	low	low	low-medium	2	18	12	1	0	19	50	45	2	1	7	0	0	0.5	0.657	0.524	0	0.0		
weka.core.SerializationHelper	SerializationHelper	low-medium	low	low-medium	low-medium	4	63	34	1	0	38	157	155	0	1	1	19	0	0.0	0.686	0.995	0	0.0		
weka.core.SerializedObject	SerializedObject	low	low	low-medium	low	2	24	11	1	0	16	130	125	3	1	6	0	0	0.667	0.444	0.6	0	0.0		
weka.core.Settings	Settings	high	low-medium	low-medium	low-medium	8	185	32	1	0	51	193	129	3	1	14	1	0	0.705	0.667	0.516	0	0.0		
weka.core.SingleIndex	SingleIndex	low-medium	low	low-medium	low	1	20	13	1	0	24	65	59	3	1	10	2	0	0.6	0.528	0.855	0	0.0		
weka.core.SparseInstance	SparseInstance	medium-high	low	medium-high	low-medium	5	148	76	2	1	85	425	420	2	1	23	1	1	0.579	0.694	0.467	0	0.087		
weka.core.SpecialFunctions	SpecialFunctions	low	low	low	low	2	16	8	1	0	8	28	25	0	1	1	4	0	0.0	0.4	0.9	0	0.0		
weka.core.Statistics	Statistics	very-high	low	medium-high	low	1	30	26	1	0	124	586	548	0	15	1	19	0	0.9	0.462	0.9	0	0.0		
weka.core.Stopwords	Stopwords	low-medium	low	medium-high	low-medium	2	52	39	1	0	30	616	610	1	1	14	2	0	0.583	0.662	0.875	0	0.0		
weka.core.StringLocator	StringLocator	low-medium	low	low-medium	low	4	31	17	2	0	19	64	62	0	1	4	2	1	0.0	0.5	0.0	0	0.5		
weka.core.Summarizable	Summarizable	low	low	low	low	0	1	0	1	5	1	2	1	0	0	1	0	0	0.0	0.0	0.0	0	0.0		
weka.core.SystemInfo	SystemInfo	low	low	low-medium	low	5	46	25	1	0	12	63	61	1	0	5	1	0	0.0	0.417	0.7	0	0.0		
weka.core.Tag	Tag	low	low	low-medium	low-medium	1	18	5	1	1	19	53	48	3	1	12	2	0	0.786	0.629	0.868	0	0.0		
weka.core.TechnicalInformation	TechnicalInformation	medium-high	low	medium-high	low-medium	3	46	35	1	0	68	375	240	4	1	17	1	0	0.844	0.689	0.917	0	0.0		
weka.core.TechnicalInformationHandler	TechnicalInformationHandler	low	low	low	low	1	1	0	1	85	1	2	1	0	0	1	0	0	0.0	0.0	0.0	0	0.0		
weka.core.TechnicalInformationHandlerJavadoc	TechnicalInformationHandlerJavadoc	medium-high	low-medium	low-medium	low-medium	6	101	27	2	0	17	74	68	1	4	8	1	0	0.9	0.639	0.964	0	0.0		
weka.core.Tee	Tee	medium-high	low	high	high	1	87	52	4	0	84	227	220	4	0	43	0	28	0.712	0.848	0.267	0	2.605		
weka.core.ThreadSafe	ThreadSafe	low	low	low	low	0	0	0	1	1	0	1	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0		
weka.core.Trie	Trie	low-medium	low	medium-high	medium-high	2	57	40	1	0	43	371	163	3	1	24	1	1	0.735	0.747	0.576	0	0.042		
weka.core.UnassignedClassException	UnassignedClassException	medium-high	low	low	low	0	2	0	4	0	2	7	4	0	1	2	0	0	0.0	0.25	0.0	0	0.0		
weka.core.UnassignedDatasetException	UnassignedDatasetException	medium-high	low	low	low	0	2	0	4	0	2	7	4	0	1	2	0	0	0.0	0.25	0.0	0	0.0		
weka.core.Undoable	Undoable	low	low	low	low	0	6	0	1	3	6	7	6	0	0	6	0	0	0.0	0.417	0.0	0	0.0		
weka.core.UnsupportedAttributeTypeException	UnsupportedAttributeTypeException	medium-high	low	low	low	0	2	0	4	0	2	7	4	0	1	2	0	0	0.0	0.25	0.0	0	0.0		
weka.core.UnsupportedClassTypeException	UnsupportedClassTypeException	medium-high	low	low	low	0	2	0	4	0	2	7	4	0	1	2	0	0	0.0	0.25	0.0	0	0.0		
weka.core.Utils	Utils	very-high	low-medium	high	high	9	274	164	1	0	364	1142	1124	0	4	1	94	0	0.844	0.824	0.996	0	0.0		
weka.core.Version	Version	low-medium	low	low-medium	low	1	20	16	1	0	25	166	137	0	8	6	2	0	1.125	0.531	0.952	0	0.0		
